"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden_dim","latent_dim","learning_rate","n_components","test_size","training_size","epoch","explained_variance_ratio","min_overall_loss","min_test_loss","min_test_recon_loss","min_train_loss","min_train_recon_loss","n_model_params","name","overall_loss","test_loss","test_recon_loss","train_loss","train_recon_loss","unexplained_variance_ratio"
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_40","finished","-","dhjayalath","","2023-03-01T05:06:23.000Z","137","","10","500","200","52","40","0.001","","","","199","","","0.05013435807228089","","4.746056005859375","","9554","","","4.761876564216614","","0.05564021564126015","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_30","finished","-","dhjayalath","","2023-03-01T05:04:04.000Z","137","","10","500","200","52","30","0.001","","","","199","","","0.050647468519210814","","4.857832993507385","","8504","","","4.868844781875611","","0.054657183176279066","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_25","finished","-","dhjayalath","","2023-03-01T05:01:44.000Z","137","","10","500","200","52","25","0.001","","","","199","","","0.058784058183431624","","5.224797007751465","","7979","","","5.227113913726806","","0.05985845466852188","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_22","finished","-","dhjayalath","","2023-03-01T04:59:23.000Z","139","","10","500","200","52","22","0.001","","","","199","","","0.06544657696485519","","5.597921857833862","","7664","","","5.5996157070159915","","0.0692399301290512","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_21","finished","-","dhjayalath","","2023-03-01T04:57:02.000Z","139","","10","500","200","52","21","0.001","","","","199","","","0.0688447655081749","","5.728013066864014","","7559","","","5.738222978973389","","0.06954116582870483","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_1000","finished","-","ygideoni","","2023-03-01T04:56:22.000Z","742","","10","500","200","184","1000","0.001","","","","199","","","0.008144773533195258","","1.4850720774650574","","387818","","","1.9835934880256656","","0.013130318769812584","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_20","finished","-","dhjayalath","","2023-03-01T04:54:41.000Z","138","","10","500","200","52","20","0.001","","","","199","","","0.07013995728492736","","5.739574415969849","","7454","","","5.743523144149781","","0.07013995728492736","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_19","finished","-","dhjayalath","","2023-03-01T04:52:19.000Z","139","","10","500","200","52","19","0.001","","","","199","","","0.19214646432399748","","5.9920867202758785","","7349","","","6.000167424011231","","0.19649458961486815","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_18","finished","-","dhjayalath","","2023-03-01T04:49:57.000Z","139","","10","500","200","52","18","0.001","","","","199","","","0.3266632116317749","","6.148730752563477","","7244","","","6.157996271133423","","0.3297232244491577","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_17","finished","-","dhjayalath","","2023-03-01T04:47:37.000Z","137","","10","500","200","52","17","0.001","","","","199","","","0.49376375761032104","","6.3062492240905765","","7139","","","6.315237661743164","","0.49896323590278624","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_14","finished","-","dhjayalath","","2023-03-01T04:45:16.000Z","139","","10","500","200","52","14","0.001","","","","199","","","1.0732161058425904","","6.819656974792481","","6824","","","6.836245667648315","","1.0732161058425904","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_900","finished","-","ygideoni","","2023-03-01T04:45:01.000Z","679","","10","500","200","184","900","0.001","","","","199","","","0.008349830017983914","","1.4314008829116822","","350918","","","1.910164974308014","","0.012183136662840844","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_11","finished","-","dhjayalath","","2023-03-01T04:42:54.000Z","139","","10","500","200","52","11","0.001","","","","199","","","1.8873571132659912","","7.515789981842041","","6509","","","7.592458163833618","","1.8890047540664672","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_8","finished","-","dhjayalath","","2023-03-01T04:40:33.000Z","139","","10","500","200","52","8","0.001","","","","199","","","2.9582406787872313","","8.166708938217162","","6194","","","8.34939928855896","","2.9582406787872313","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_5","finished","-","dhjayalath","","2023-03-01T04:38:11.000Z","139","","10","500","200","52","5","0.001","","","","199","","","4.549207820892334","","8.830041328048706","","5879","","","9.276820149993895","","4.549207820892334","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid44_latent_60","finished","-","dhjayalath","","2023-03-01T04:35:50.000Z","139","","10","500","200","44","60","0.001","","","","199","","","0.060500766134262085","","5.491194606781006","","9878","","","5.4946250720977785","","0.062201385807991026","",""
